Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,P>2.5,P<2.5
D1,10/03/2023,FC Koln,Bochum,0,2,A,1.78,3.87,4.92,1.9,2.01
D1,11/03/2023,Bayern Munich,Augsburg,5,3,H,1.14,10.07,16.64,,
D1,11/03/2023,Ein Frankfurt,Stuttgart,1,1,D,1.86,3.88,4.26,1.86,2.03
D1,11/03/2023,Hertha,Mainz,1,1,D,2.97,3.5,2.47,1.91,1.98
D1,11/03/2023,RB Leipzig,M'gladbach,3,0,H,1.43,5.16,7.18,1.54,2.61
D1,11/03/2023,Schalke 04,Dortmund,2,2,D,4.56,4.21,1.74,1.7,2.24
D1,12/03/2023,Freiburg,Hoffenheim,2,1,H,1.93,3.71,4.1,1.85,2.04
D1,12/03/2023,Werder Bremen,Leverkusen,2,3,A,3.32,3.82,2.15,1.68,2.28
D1,12/03/2023,Wolfsburg,Union Berlin,1,1,D,2.28,3.22,3.59,2.32,1.66
D1,17/03/2023,M'gladbach,Werder Bremen,2,2,D,1.83,4.02,4.39,1.63,2.4
D1,18/03/2023,Augsburg,Schalke 04,1,1,D,2.38,3.45,3.14,2.02,1.88
D1,18/03/2023,Bochum,RB Leipzig,1,0,H,5.93,4.45,1.57,1.72,2.2
D1,18/03/2023,Hoffenheim,Hertha,3,1,H,2.13,3.62,3.54,1.86,2.04
D1,18/03/2023,Stuttgart,Wolfsburg,0,1,A,2.46,3.47,3.0,1.99,1.9
D1,18/03/2023,Dortmund,FC Koln,6,1,H,1.47,4.99,6.61,1.6,2.44
D1,19/03/2023,Union Berlin,Ein Frankfurt,2,0,H,2.44,3.22,3.25,2.36,1.64
D1,19/03/2023,Leverkusen,Bayern Munich,2,1,H,4.73,5.04,1.61,1.44,2.9
D1,19/03/2023,Mainz,Freiburg,1,1,D,2.17,3.51,3.55,2.01,1.88
D1,31/03/2023,Ein Frankfurt,Bochum,1,1,D,1.52,4.55,6.59,1.72,2.2
D1,01/04/2023,Freiburg,Hertha,1,1,D,1.69,3.98,5.33,1.98,1.9
D1,01/04/2023,RB Leipzig,Mainz,0,3,A,1.56,4.52,5.98,1.7,2.24
D1,01/04/2023,Schalke 04,Leverkusen,0,3,A,4.1,3.73,1.93,1.89,2.0
D1,01/04/2023,Union Berlin,Stuttgart,3,0,H,2.12,3.28,3.98,2.43,1.61
D1,01/04/2023,Wolfsburg,Augsburg,2,2,D,1.63,4.31,5.36,1.74,2.17
D1,01/04/2023,Bayern Munich,Dortmund,4,2,H,1.51,5.26,5.62,1.36,3.31
D1,02/04/2023,FC Koln,M'gladbach,0,0,D,2.23,3.71,3.24,1.79,2.11
D1,02/04/2023,Werder Bremen,Hoffenheim,1,2,A,2.37,3.74,2.95,1.79,2.11
D1,08/04/2023,Augsburg,FC Koln,1,3,A,2.88,3.51,2.53,1.9,1.99
D1,08/04/2023,Dortmund,Union Berlin,2,1,H,1.61,4.11,6.07,1.87,2.02
D1,08/04/2023,Freiburg,Bayern Munich,0,1,A,6.54,5.11,1.46,1.54,2.6
D1,08/04/2023,Leverkusen,Ein Frankfurt,3,1,H,1.85,4.08,4.1,1.68,2.28
D1,08/04/2023,Mainz,Werder Bremen,2,2,D,1.74,4.1,4.73,1.74,2.19
D1,08/04/2023,Hertha,RB Leipzig,0,1,A,5.48,4.23,1.63,1.8,2.09
D1,09/04/2023,M'gladbach,Wolfsburg,2,0,H,2.43,3.72,2.88,1.75,2.17
D1,09/04/2023,Bochum,Stuttgart,2,3,A,3.09,3.53,2.38,1.98,1.91
D1,09/04/2023,Hoffenheim,Schalke 04,2,0,H,1.95,3.94,3.81,1.78,2.12
D1,14/04/2023,Schalke 04,Hertha,5,2,H,2.38,3.31,3.28,2.19,1.74
D1,15/04/2023,Bayern Munich,Hoffenheim,1,1,D,1.22,7.89,10.9,1.34,3.38
D1,15/04/2023,FC Koln,Mainz,1,1,D,2.68,3.43,2.76,2.06,1.84
D1,15/04/2023,RB Leipzig,Augsburg,3,2,H,1.26,6.63,10.84,1.46,2.78
D1,15/04/2023,Stuttgart,Dortmund,3,3,D,3.53,3.96,2.03,1.68,2.28
D1,15/04/2023,Ein Frankfurt,M'gladbach,1,1,D,1.77,4.25,4.37,1.67,2.3
D1,16/04/2023,Werder Bremen,Freiburg,1,2,A,2.71,3.58,2.64,1.93,1.96
D1,16/04/2023,Union Berlin,Bochum,1,1,D,1.62,3.94,6.28,2.16,1.75
D1,16/04/2023,Wolfsburg,Leverkusen,0,0,D,2.82,3.78,2.45,1.74,2.18
D1,21/04/2023,Augsburg,Stuttgart,1,1,D,3.39,3.76,2.17,1.81,2.1
D1,22/04/2023,Bochum,Wolfsburg,1,5,A,3.07,3.65,2.34,1.91,1.98
D1,22/04/2023,Hertha,Werder Bremen,2,4,A,2.31,3.58,3.16,1.96,1.92
D1,22/04/2023,Hoffenheim,FC Koln,1,3,A,2.21,3.69,3.28,1.85,2.04
D1,22/04/2023,Mainz,Bayern Munich,3,1,H,5.23,4.7,1.6,1.53,2.59
D1,22/04/2023,Dortmund,Ein Frankfurt,4,0,H,1.62,4.67,5.03,1.53,2.61
D1,23/04/2023,Freiburg,Schalke 04,4,0,H,1.81,3.7,4.84,2.11,1.79
D1,23/04/2023,Leverkusen,RB Leipzig,2,0,H,2.55,3.74,2.72,1.79,2.11
D1,23/04/2023,M'gladbach,Union Berlin,0,1,A,2.42,3.36,3.16,2.14,1.76
D1,28/04/2023,Bochum,Dortmund,1,1,D,6.55,5.26,1.47,1.43,2.98
D1,29/04/2023,Ein Frankfurt,Augsburg,1,1,D,1.57,4.6,5.63,1.63,2.39
D1,29/04/2023,FC Koln,Freiburg,0,1,A,2.48,3.39,3.03,2.15,1.76
D1,29/04/2023,RB Leipzig,Hoffenheim,1,0,H,1.44,5.2,6.89,1.59,2.48
D1,29/04/2023,Stuttgart,M'gladbach,2,1,H,1.84,4.08,4.15,1.72,2.21
D1,29/04/2023,Union Berlin,Leverkusen,0,0,D,2.91,3.39,2.58,2.09,1.8
D1,29/04/2023,Schalke 04,Werder Bremen,2,1,H,2.28,3.65,3.18,1.85,2.05
D1,30/04/2023,Bayern Munich,Hertha,2,0,H,1.12,10.61,20.33,,
D1,30/04/2023,Wolfsburg,Mainz,3,0,H,2.35,3.48,3.17,1.88,2.01
D2,15/07/2022,Kaiserslautern,Hannover,2,1,H,2.48,3.41,2.88,1.93,1.9
D2,16/07/2022,Greuther Furth,Holstein Kiel,2,2,D,2.23,3.38,3.32,1.92,1.92
D2,16/07/2022,Regensburg,Darmstadt,2,0,H,3.59,4.09,1.91,1.61,2.35
D2,16/07/2022,Sandhausen,Bielefeld,2,1,H,3.22,3.3,2.32,1.93,1.9
D2,16/07/2022,St Pauli,Nurnberg,3,2,H,2.45,3.58,2.81,1.66,2.25
D2,16/07/2022,Magdeburg,Fortuna Dusseldorf,1,2,A,2.78,3.59,2.46,1.79,2.05
D2,17/07/2022,Braunschweig,Hamburg,0,2,A,5.36,4.04,1.63,1.68,2.21
D2,17/07/2022,Hansa Rostock,Heidenheim,0,1,A,2.43,3.24,3.09,1.93,1.9
D2,17/07/2022,Paderborn,Karlsruhe,5,0,H,1.92,3.96,3.66,1.57,2.43
D2,22/07/2022,Darmstadt,Sandhausen,2,1,H,1.81,3.99,4.39,1.59,2.46
D2,22/07/2022,Fortuna Dusseldorf,Paderborn,2,1,H,2.45,3.78,2.82,1.68,2.29
D2,23/07/2022,Heidenheim,Braunschweig,3,0,H,2.06,3.61,3.76,1.96,1.93
D2,23/07/2022,Holstein Kiel,Kaiserslautern,2,2,D,2.27,3.45,3.38,1.88,2.0
D2,23/07/2022,Nurnberg,Greuther Furth,2,0,H,2.39,3.64,2.98,1.7,2.24
D2,23/07/2022,Hannover,St Pauli,2,2,D,2.31,3.7,3.08,1.68,2.29
D2,24/07/2022,Bielefeld,Regensburg,0,3,A,1.81,4.05,4.32,1.76,2.14
D2,24/07/2022,Hamburg,Hansa Rostock,0,1,A,1.52,4.52,6.54,1.61,2.41
D2,24/07/2022,Karlsruhe,Magdeburg,2,3,A,2.91,3.72,2.41,1.71,2.23
D2,05/08/2022,Greuther Furth,Karlsruhe,1,1,D,1.76,4.36,4.3,1.56,2.53
D2,05/08/2022,Sandhausen,Fortuna Dusseldorf,1,0,H,3.18,3.43,2.38,2.13,1.78
D2,06/08/2022,Hamburg,Heidenheim,1,0,H,1.68,4.21,4.99,1.67,2.31
D2,06/08/2022,Paderborn,Hannover,4,2,H,2.09,3.95,3.37,1.64,2.36
D2,06/08/2022,Regensburg,Nurnberg,0,0,D,2.73,3.55,2.63,1.78,2.11
D2,06/08/2022,Hansa Rostock,Bielefeld,2,1,H,2.53,3.34,3.01,2.09,1.8
D2,07/08/2022,Braunschweig,Darmstadt,0,1,A,3.29,3.65,2.22,1.72,2.21
D2,07/08/2022,Kaiserslautern,St Pauli,2,1,H,2.58,3.65,2.73,1.78,2.12
D2,07/08/2022,Magdeburg,Holstein Kiel,1,2,A,2.14,3.95,3.26,1.63,2.38
D2,12/08/2022,Kaiserslautern,Paderborn,0,1,A,2.94,3.65,2.41,1.65,2.34
D2,12/08/2022,Nurnberg,Heidenheim,0,3,A,2.2,3.52,3.46,1.85,2.05
D2,13/08/2022,Bielefeld,Hamburg,0,2,A,3.76,3.68,2.04,1.79,2.11
D2,13/08/2022,Holstein Kiel,Braunschweig,3,0,H,2.1,3.79,3.46,1.71,2.23
D2,13/08/2022,Karlsruhe,Sandhausen,3,2,H,2.35,3.47,3.19,1.87,2.02
D2,13/08/2022,Darmstadt,Hansa Rostock,4,0,H,1.82,3.95,4.42,1.71,2.23
D2,14/08/2022,Fortuna Dusseldorf,Greuther Furth,2,2,D,2.09,3.64,3.64,1.82,2.06
D2,14/08/2022,Hannover,Regensburg,1,0,H,2.17,3.69,3.37,1.74,2.19
D2,14/08/2022,St Pauli,Magdeburg,3,0,H,2.03,4.13,3.41,1.5,2.71
D2,19/08/2022,Hamburg,Darmstadt,1,2,A,2.22,3.74,3.23,1.53,2.59
D2,19/08/2022,Magdeburg,Hannover,0,4,A,2.77,3.76,2.5,1.48,2.75
D2,20/08/2022,Paderborn,Holstein Kiel,7,2,H,1.75,4.45,4.26,1.4,3.06
D2,20/08/2022,Regensburg,Karlsruhe,0,6,A,2.25,3.64,3.24,1.75,2.16
D2,20/08/2022,Sandhausen,Nurnberg,1,2,A,2.92,3.37,2.58,1.89,1.99
D2,20/08/2022,Braunschweig,Fortuna Dusseldorf,2,2,D,3.73,3.65,2.06,1.8,2.09
D2,21/08/2022,Greuther Furth,Kaiserslautern,1,3,A,2.05,3.58,3.84,1.76,2.14
D2,21/08/2022,Hansa Rostock,St Pauli,2,0,H,2.76,3.69,2.54,1.72,2.2
D2,21/08/2022,Heidenheim,Bielefeld,1,1,D,2.12,3.7,3.49,1.8,2.09
D2,26/08/2022,Bielefeld,Braunschweig,4,1,H,2.0,3.72,3.84,1.76,2.15
D2,26/08/2022,Fortuna Dusseldorf,Regensburg,4,0,H,1.66,4.14,5.33,1.72,2.21
D2,27/08/2022,Darmstadt,Heidenheim,2,2,D,1.8,3.95,4.53,1.64,2.36
D2,27/08/2022,Karlsruhe,Hansa Rostock,2,0,H,2.2,3.66,3.33,1.78,2.12
D2,27/08/2022,St Pauli,Paderborn,2,2,D,2.71,4.14,2.39,1.41,3.04
D2,27/08/2022,Nurnberg,Hamburg,0,2,A,3.1,3.63,2.33,1.66,2.33
D2,28/08/2022,Hannover,Greuther Furth,2,1,H,2.29,3.54,3.24,1.66,2.32
D2,28/08/2022,Holstein Kiel,Sandhausen,1,0,H,2.06,3.94,3.45,1.66,2.32
D2,28/08/2022,Kaiserslautern,Magdeburg,4,4,D,1.91,4.09,3.83,1.54,2.61
D2,02/09/2022,Braunschweig,Nurnberg,4,2,H,2.9,3.59,2.47,1.78,2.11
D2,02/09/2022,Heidenheim,Fortuna Dusseldorf,2,1,H,2.65,3.51,2.74,1.85,2.05
D2,03/09/2022,Greuther Furth,St Pauli,2,2,D,2.37,3.71,2.97,1.6,2.46
D2,03/09/2022,Paderborn,Magdeburg,1,0,H,1.49,5.22,5.91,1.28,3.86
D2,03/09/2022,Regensburg,Holstein Kiel,0,0,D,2.39,3.63,3.0,1.67,2.3
D2,03/09/2022,Hamburg,Karlsruhe,1,0,H,1.7,4.21,4.87,1.51,2.67
D2,04/09/2022,Darmstadt,Bielefeld,1,1,D,1.68,4.28,4.96,1.6,2.45
D2,04/09/2022,Hansa Rostock,Hannover,0,1,A,2.64,3.57,2.72,1.89,2.0
D2,04/09/2022,Sandhausen,Kaiserslautern,0,0,D,2.66,3.45,2.77,1.94,1.94
D2,09/09/2022,Holstein Kiel,Hamburg,2,3,A,3.84,3.77,1.99,1.63,2.37
D2,09/09/2022,Nurnberg,Bielefeld,1,0,H,2.3,3.6,3.18,1.78,2.13
D2,10/09/2022,Hannover,Braunschweig,1,1,D,1.78,4.16,4.43,1.66,2.32
D2,10/09/2022,Karlsruhe,Heidenheim,0,0,D,2.4,3.59,3.01,1.74,2.19
D2,10/09/2022,Paderborn,Regensburg,3,0,H,1.49,5.04,6.12,1.47,2.81
D2,10/09/2022,Fortuna Dusseldorf,Hansa Rostock,3,1,H,1.81,3.79,4.68,1.82,2.07
D2,11/09/2022,Kaiserslautern,Darmstadt,3,3,D,3.42,3.86,2.1,1.66,2.31
D2,11/09/2022,Magdeburg,Greuther Furth,2,1,H,2.96,3.82,2.33,1.56,2.56
D2,11/09/2022,St Pauli,Sandhausen,1,1,D,1.75,3.94,4.92,1.79,2.11
D2,16/09/2022,Braunschweig,Karlsruhe,2,1,H,3.07,3.71,2.31,1.74,2.18
D2,16/09/2022,Sandhausen,Hannover,2,3,A,3.05,3.41,2.46,1.98,1.9
D2,17/09/2022,Bielefeld,Holstein Kiel,4,2,H,2.27,3.65,3.2,1.72,2.2
D2,17/09/2022,Darmstadt,Nurnberg,2,0,H,1.73,4.3,4.57,1.6,2.44
D2,17/09/2022,Hansa Rostock,Magdeburg,3,1,H,2.2,3.69,3.3,1.7,2.24
D2,17/09/2022,Hamburg,Fortuna Dusseldorf,2,0,H,2.02,3.85,3.66,1.67,2.3
D2,18/09/2022,Greuther Furth,Paderborn,2,1,H,3.34,4.04,2.08,1.5,2.69
D2,18/09/2022,Heidenheim,Kaiserslautern,2,2,D,1.97,3.68,4.0,1.87,2.02
D2,18/09/2022,Regensburg,St Pauli,2,0,H,3.26,3.83,2.17,1.72,2.22
D2,30/09/2022,Hannover,Hamburg,1,2,A,3.62,3.77,2.06,1.65,2.34
D2,30/09/2022,Paderborn,Darmstadt,1,2,A,2.3,3.84,3.01,1.52,2.63
D2,01/10/2022,Fortuna Dusseldorf,Bielefeld,4,1,H,1.81,3.88,4.54,1.74,2.17
D2,01/10/2022,Greuther Furth,Sandhausen,1,1,D,1.94,3.66,4.14,1.86,2.04
D2,01/10/2022,Holstein Kiel,Hansa Rostock,1,1,D,2.07,3.66,3.67,1.74,2.17
D2,01/10/2022,St Pauli,Heidenheim,0,0,D,2.22,3.68,3.27,1.76,2.14
D2,02/10/2022,Kaiserslautern,Braunschweig,1,1,D,1.92,3.79,4.11,1.78,2.11
D2,02/10/2022,Karlsruhe,Nurnberg,3,0,H,2.25,3.67,3.22,1.72,2.21
D2,02/10/2022,Magdeburg,Regensburg,1,0,H,2.09,3.71,3.56,1.64,2.36
D2,07/10/2022,Bielefeld,Karlsruhe,1,2,A,3.37,3.71,2.16,1.73,2.2
D2,07/10/2022,Regensburg,Greuther Furth,2,2,D,3.18,3.4,2.38,2.05,1.85
D2,08/10/2022,Braunschweig,St Pauli,2,1,H,3.24,3.77,2.2,1.68,2.27
D2,08/10/2022,Darmstadt,Fortuna Dusseldorf,1,0,H,2.0,3.95,3.62,1.65,2.34
D2,08/10/2022,Hansa Rostock,Paderborn,0,3,A,3.53,3.84,2.06,1.71,2.23
D2,08/10/2022,Hamburg,Kaiserslautern,1,1,D,1.61,4.36,5.49,1.63,2.39
D2,09/10/2022,Heidenheim,Hannover,2,1,H,2.22,3.52,3.4,1.78,2.12
D2,09/10/2022,Nurnberg,Holstein Kiel,2,3,A,2.26,3.86,3.07,1.67,2.3
D2,09/10/2022,Sandhausen,Magdeburg,1,0,H,2.52,3.56,2.86,1.71,2.23
D2,14/10/2022,Greuther Furth,Hansa Rostock,2,2,D,2.21,3.5,3.44,1.92,1.97
D2,14/10/2022,St Pauli,Hamburg,3,0,H,3.15,3.63,2.3,1.79,2.11
D2,15/10/2022,Fortuna Dusseldorf,Nurnberg,0,1,A,1.88,3.92,4.1,1.8,2.09
D2,15/10/2022,Karlsruhe,Darmstadt,1,2,A,2.71,3.7,2.57,1.65,2.35
D2,15/10/2022,Magdeburg,Braunschweig,0,2,A,2.27,3.82,3.07,1.6,2.46
D2,15/10/2022,Hannover,Bielefeld,2,0,H,1.95,3.87,3.88,1.69,2.26
D2,16/10/2022,Holstein Kiel,Heidenheim,3,1,H,2.53,3.5,2.89,1.79,2.11
D2,16/10/2022,Kaiserslautern,Regensburg,0,3,A,1.81,3.94,4.51,1.85,2.05
D2,16/10/2022,Paderborn,Sandhausen,3,0,H,1.53,4.37,6.65,1.65,2.33
D2,21/10/2022,Darmstadt,Holstein Kiel,1,1,D,1.76,4.03,4.71,1.59,2.48
D2,21/10/2022,Hansa Rostock,Kaiserslautern,0,2,A,3.06,3.28,2.53,2.02,1.87
D2,22/10/2022,Braunschweig,Paderborn,0,0,D,3.84,3.92,1.94,1.6,2.46
D2,22/10/2022,Nurnberg,Hannover,0,0,D,2.11,3.67,3.56,1.76,2.15
D2,22/10/2022,Regensburg,Sandhausen,2,1,H,2.24,3.32,3.56,2.06,1.84
D2,22/10/2022,Bielefeld,St Pauli,2,0,H,3.2,3.67,2.26,1.71,2.23
D2,23/10/2022,Hamburg,Magdeburg,2,3,A,1.51,4.67,6.46,1.51,2.66
D2,23/10/2022,Heidenheim,Greuther Furth,3,1,H,2.1,3.66,3.58,1.79,2.11
D2,23/10/2022,Karlsruhe,Fortuna Dusseldorf,0,2,A,2.33,3.74,3.01,1.78,2.12
D2,28/10/2022,Greuther Furth,Bielefeld,1,0,H,2.1,3.7,3.54,1.76,2.15
D2,28/10/2022,Magdeburg,Heidenheim,1,1,D,2.99,3.63,2.39,1.77,2.14
D2,29/10/2022,Holstein Kiel,Fortuna Dusseldorf,1,2,A,2.52,3.64,2.8,1.7,2.24
D2,29/10/2022,Kaiserslautern,Nurnberg,0,0,D,2.35,3.45,3.2,1.91,1.98
D2,29/10/2022,Regensburg,Hansa Rostock,0,3,A,2.37,3.42,3.19,1.97,1.92
D2,29/10/2022,St Pauli,Darmstadt,1,1,D,2.65,3.68,2.64,1.66,2.32
D2,30/10/2022,Hannover,Karlsruhe,1,0,H,2.56,3.41,2.91,1.86,2.03
D2,30/10/2022,Paderborn,Hamburg,2,3,A,2.29,3.89,3.0,1.51,2.65
D2,30/10/2022,Sandhausen,Braunschweig,2,2,D,2.83,3.18,2.78,2.05,1.85
D2,04/11/2022,Darmstadt,Hannover,1,0,H,1.79,3.95,4.6,1.68,2.27
D2,04/11/2022,Hansa Rostock,Sandhausen,0,1,A,1.95,3.58,4.21,2.05,1.85
D2,05/11/2022,Fortuna Dusseldorf,St Pauli,1,0,H,2.1,3.72,3.54,1.77,2.13
D2,05/11/2022,Heidenheim,Paderborn,3,0,H,2.93,3.55,2.47,1.67,2.3
D2,05/11/2022,Karlsruhe,Holstein Kiel,1,4,A,2.16,3.8,3.3,1.62,2.41
D2,05/11/2022,Bielefeld,Kaiserslautern,2,3,A,2.82,3.45,2.61,2.0,1.89
D2,06/11/2022,Braunschweig,Greuther Furth,0,1,A,2.78,3.39,2.68,1.89,2.0
D2,06/11/2022,Hamburg,Regensburg,3,1,H,1.45,4.71,7.71,1.59,2.47
D2,06/11/2022,Nurnberg,Magdeburg,1,2,A,1.92,3.75,4.14,1.65,2.33
D2,08/11/2022,Hannover,Fortuna Dusseldorf,2,0,H,2.75,3.37,2.73,1.94,1.94
D2,08/11/2022,Kaiserslautern,Karlsruhe,2,0,H,2.26,3.46,3.38,1.95,1.93
D2,08/11/2022,Paderborn,Bielefeld,0,2,A,1.56,4.53,5.98,1.58,2.49
D2,08/11/2022,St Pauli,Holstein Kiel,0,0,D,2.28,3.68,3.15,1.72,2.21
D2,09/11/2022,Greuther Furth,Hamburg,1,0,H,3.39,3.62,2.19,1.72,2.21
D2,09/11/2022,Hansa Rostock,Nurnberg,1,1,D,2.46,3.35,3.11,2.04,1.85
D2,09/11/2022,Regensburg,Braunschweig,1,1,D,2.47,3.45,3.01,1.85,2.05
D2,09/11/2022,Sandhausen,Heidenheim,3,4,A,3.66,3.39,2.17,2.17,1.75
D2,10/11/2022,Magdeburg,Darmstadt,0,1,A,3.42,3.76,2.13,1.68,2.27
D2,11/11/2022,Fortuna Dusseldorf,Kaiserslautern,1,2,A,1.95,3.59,4.18,1.97,1.92
D2,11/11/2022,Holstein Kiel,Hannover,1,1,D,1.98,3.89,3.75,1.74,2.19
D2,12/11/2022,Hamburg,Sandhausen,4,2,H,1.44,4.98,7.2,1.59,2.47
D2,12/11/2022,Heidenheim,Regensburg,5,4,H,1.76,3.98,4.78,1.87,2.02
D2,12/11/2022,Karlsruhe,St Pauli,4,4,D,2.53,3.48,2.9,1.78,2.12
D2,12/11/2022,Braunschweig,Hansa Rostock,0,1,A,2.56,3.3,2.99,1.96,1.93
D2,13/11/2022,Bielefeld,Magdeburg,3,1,H,2.35,3.7,3.01,1.71,2.23
D2,13/11/2022,Darmstadt,Greuther Furth,1,1,D,1.85,3.85,4.34,1.82,2.07
D2,13/11/2022,Nurnberg,Paderborn,2,1,H,3.22,3.57,2.29,1.76,2.15
D2,27/01/2023,Fortuna Dusseldorf,Magdeburg,3,2,H,1.78,4.13,4.45,1.65,2.34
D2,27/01/2023,Karlsruhe,Paderborn,0,1,A,2.65,3.7,2.63,1.65,2.33
D2,28/01/2023,Darmstadt,Regensburg,2,0,H,1.59,4.3,5.9,1.74,2.19
D2,28/01/2023,Heidenheim,Hansa Rostock,2,0,H,1.91,3.58,4.44,2.06,1.84
D2,28/01/2023,Holstein Kiel,Greuther Furth,2,1,H,2.33,3.53,3.18,1.78,2.11
D2,28/01/2023,Hannover,Kaiserslautern,1,3,A,2.4,3.37,3.19,1.9,1.99
D2,29/01/2023,Bielefeld,Sandhausen,1,2,A,2.05,3.55,3.86,1.88,2.02
D2,29/01/2023,Hamburg,Braunschweig,4,2,H,1.53,4.74,5.99,1.61,2.43
D2,29/01/2023,Nurnberg,St Pauli,0,1,A,2.77,3.57,2.59,1.97,1.92
D2,03/02/2023,Paderborn,Fortuna Dusseldorf,4,1,H,2.51,3.54,2.88,1.75,2.16
D2,03/02/2023,Sandhausen,Darmstadt,0,4,A,3.85,3.46,2.08,2.04,1.86
D2,04/02/2023,Braunschweig,Heidenheim,2,0,H,3.17,3.36,2.41,2.03,1.86
D2,04/02/2023,Kaiserslautern,Holstein Kiel,2,1,H,2.36,3.49,3.15,1.8,2.09
D2,04/02/2023,Regensburg,Bielefeld,1,3,A,2.38,3.34,3.25,1.94,1.94
D2,04/02/2023,Greuther Furth,Nurnberg,1,0,H,2.15,3.48,3.64,2.0,1.88
D2,05/02/2023,Hansa Rostock,Hamburg,0,2,A,3.81,3.88,1.96,1.72,2.21
D2,05/02/2023,Magdeburg,Karlsruhe,1,1,D,2.77,3.55,2.6,1.7,2.24
D2,05/02/2023,St Pauli,Hannover,2,0,H,2.07,3.64,3.69,1.88,2.01
D2,10/02/2023,Bielefeld,Hansa Rostock,0,1,A,2.3,3.27,3.47,2.14,1.76
D2,10/02/2023,Karlsruhe,Greuther Furth,2,1,H,2.7,3.45,2.73,1.98,1.91
D2,11/02/2023,Hannover,Paderborn,3,4,A,2.97,3.53,2.46,1.78,2.12
D2,11/02/2023,Holstein Kiel,Magdeburg,2,3,A,1.85,3.94,4.24,1.61,2.43
D2,11/02/2023,Nurnberg,Regensburg,1,0,H,2.11,3.44,3.8,2.08,1.81
D2,11/02/2023,Heidenheim,Hamburg,3,3,D,2.98,3.6,2.42,1.76,2.14
D2,12/02/2023,Darmstadt,Braunschweig,2,1,H,1.56,4.41,6.08,1.73,2.19
D2,12/02/2023,Fortuna Dusseldorf,Sandhausen,2,0,H,1.65,4.05,5.7,1.89,1.99
D2,12/02/2023,St Pauli,Kaiserslautern,1,0,H,2.09,3.54,3.73,1.98,1.91
D2,17/02/2023,Braunschweig,Holstein Kiel,2,3,A,3.07,3.54,2.39,1.8,2.09
D2,17/02/2023,Paderborn,Kaiserslautern,1,0,H,2.0,3.73,3.83,1.73,2.19
D2,18/02/2023,Greuther Furth,Fortuna Dusseldorf,2,1,H,2.43,3.39,3.12,2.01,1.88
D2,18/02/2023,Magdeburg,St Pauli,1,2,A,3.41,3.67,2.16,1.72,2.21
D2,18/02/2023,Regensburg,Hannover,1,1,D,2.91,3.47,2.53,1.91,1.98
D2,18/02/2023,Hansa Rostock,Darmstadt,0,1,A,3.69,3.39,2.16,2.06,1.84
D2,19/02/2023,Hamburg,Bielefeld,2,1,H,1.5,4.67,6.6,1.56,2.54
D2,19/02/2023,Heidenheim,Nurnberg,5,0,H,1.93,3.45,4.53,2.07,1.83
D2,19/02/2023,Sandhausen,Karlsruhe,0,3,A,3.23,3.35,2.38,1.97,1.92
D2,24/02/2023,Fortuna Dusseldorf,Braunschweig,3,1,H,1.63,4.2,5.51,1.7,2.23
D2,24/02/2023,Karlsruhe,Regensburg,1,0,H,1.81,3.84,4.59,1.82,2.06
D2,25/02/2023,Holstein Kiel,Paderborn,1,1,D,2.79,3.88,2.43,1.58,2.5
D2,25/02/2023,Kaiserslautern,Greuther Furth,3,1,H,2.55,3.42,2.92,2.07,1.83
D2,25/02/2023,Nurnberg,Sandhausen,1,0,H,1.93,3.57,4.29,2.11,1.79
D2,25/02/2023,Darmstadt,Hamburg,1,1,D,2.72,3.71,2.56,1.66,2.33
D2,26/02/2023,Bielefeld,Heidenheim,0,1,A,3.12,3.41,2.42,1.92,1.97
D2,26/02/2023,Hannover,Magdeburg,1,2,A,1.98,3.99,3.65,1.63,2.39
D2,26/02/2023,St Pauli,Hansa Rostock,1,0,H,1.78,3.66,5.13,2.0,1.89
D2,03/03/2023,Magdeburg,Kaiserslautern,2,0,H,2.86,3.63,2.48,1.72,2.21
D2,03/03/2023,Paderborn,St Pauli,1,2,A,2.55,3.32,2.99,1.98,1.91
D2,04/03/2023,Hamburg,Nurnberg,3,0,H,1.62,4.2,5.74,1.68,2.28
D2,04/03/2023,Regensburg,Fortuna Dusseldorf,0,1,A,3.47,3.42,2.23,1.93,1.95
D2,04/03/2023,Sandhausen,Holstein Kiel,1,1,D,3.55,3.7,2.1,1.83,2.05
D2,04/03/2023,Heidenheim,Darmstadt,1,0,H,2.48,3.52,2.94,1.95,1.93
D2,05/03/2023,Braunschweig,Bielefeld,3,3,D,2.61,3.52,2.78,1.87,2.02
D2,05/03/2023,Greuther Furth,Hannover,1,1,D,1.95,3.7,4.04,1.83,2.06
D2,05/03/2023,Hansa Rostock,Karlsruhe,0,2,A,2.95,3.37,2.55,2.08,1.81
D2,10/03/2023,Kaiserslautern,Sandhausen,2,2,D,1.71,3.85,5.32,1.97,1.91
D2,10/03/2023,Nurnberg,Braunschweig,2,0,H,2.44,3.38,3.1,2.07,1.83
D2,11/03/2023,Bielefeld,Darmstadt,3,1,H,3.37,3.5,2.25,1.99,1.9
D2,11/03/2023,Magdeburg,Paderborn,0,0,D,2.83,3.75,2.45,1.59,2.48
D2,11/03/2023,St Pauli,Greuther Furth,2,1,H,2.06,3.5,3.89,2.0,1.89
